C	Pmean	Psummer	Pwinter	PETmean	PETsummer	PETwinter	size	Hmin	Hmax	Hmean	relief	aspectnorth	aspecteast	aspectsouth	aspectwest	SLP_MEAN	slope_10_	slope10_30_	slope30_60_	slope_60_	roughness	TWI	drainage_density	storagemean	permeabilitymean	soil_depthmean	bedrock	unconsolidated	waters	forests	depth0	depth0_1_10	depth_10	OSM	OMM	USM	total	alluvial	glacial_	debris	landslide
13.5189798695137	1184.82735294118	640.170294117647	571.51175257732	766.657568603471	498.392118950706	281.189721827505	417.789452	440.399719238281	1513.60400390625	721.187356759692	1073.20428466797	0	0	0	1	8.45996905562307	72.1032215628716	24.7659560615896	3.1006872437676	0.0301351317711894	1.02335374002543	7.94785905143146	0.587513635935452	79.6810921582308	67.7677591998861	69.9606381667367	0.0517621134832289	0.0301287567616205	0.339122011174682	23.4625240383925	34.7175186985026	39.4827395350283	25.7997417664688	0	49.5668605343344	36.7113373173433	75.92528927451	4.74758616327071	53.9967203806476	6.03542606214075	3.14703990007179
8.5888370988195	1568.444	889.29594117647	699.588309278351	690.957524777412	449.917576369941	253.267612896742	443.166228	638.622253417968	2220.96997070312	1069.5818715013	1582.34771728515	1	0	0	0	22.3480361479143	21.7675692532371	48.2340373776354	29.4520711773581	0.546322191769447	1.13153286762475	7.0354334481128	0.3822222662689	64.8061147538542	62.8810946371571	56.2029920286882	1.44608592367328	1.26982587185332	0.618365291230651	40.4959555841815	66.7265103783464	27.0685487289161	6.20494089273744	18.2974601575461	50.3655084475435	13.9464765352111	45.314642087137	6.63240974899452	11.5631832593011	17.1495842540466	6.70495119188695
7.10781403356266	1856.32347058824	1054.05864705882	841.855237113402	589.082102334588	382.822541095765	217.053664371959	88.103224	768.524475097656	2501.98999023437	1302.55450780642	1733.46551513671	1	0	0	0	25.93519396312	18.5069315367169	42.1356291901624	35.5661192347443	3.79132003837647	1.23345223521355	5.27113520549959	1.54623172473234	42.8851617238283	55.5032637601741	33.5331353095606	9.25215816357217	4.54204489615735	1.64743318402749	24.8164695655529	65.5955280628177	21.3124149306601	13.0920570065221	0	0	36.3163600006284	49.8633940603074	3.40803896440122	24.778468897857	17.0586605828744	2.18430122142739
12.2580882692812	1314.62364705882	723.954823529412	617.73024742268	753.728333310412	485.868231256824	281.290103486598	75.990744	465.810638427734	1036.66076660156	652.096076186151	570.850128173826	1	0	0	0	12.5273327852509	54.2008999454457	35.514093467405	10.2444961983611	0.0405103887881393	1.05145116678976	5.85092562848859	0.810427648925243	75.3178501856986	52.8523547780499	66.0431122626898	0.0436834058319978	0.0580252469033465	0.933140705302797	31.3420542253169	48.2359210277725	21.8849174047229	29.8791615675045	99.9990235652911	0	0	41.9789755556024	1.51427231735473	27.2567609041963	1.81639931571589	1.7747924698839
11.8277931338505	1323.56182352941	734.563176470588	617.792536082474	749.757273612412	482.966770200412	279.979255901505	343.159372	387.680358886718	1314.04187011718	651.145635441358	926.361511230462	0	0	0	1	13.6026740174219	53.2714078804842	32.7887444460028	13.8214802055389	0.118367467974063	1.06356672398126	7.27615555335066	0.136350640016907	71.9336839368067	53.1610408767671	63.9534946746524	0.0987716478170155	0.0559997366089392	0.914468123417359	42.9154360272936	0	0	0	0	0	0	0	0	0	0	0
13.0490974394207	1339.61429411765	769.91505882353	596.046185567011	719.771690905882	467.261418985412	265.066547586619	116.149952	518.092834472656	2174.57373046875	847.414695604544	1656.48089599609	0	1	0	0	14.2339627865232	47.5869586569362	39.3641079979937	12.6748054869882	0.374127858081852	1.06940508761769	6.1474781565323	2.10829187428334	71.4291228677395	64.7866871351046	59.8030931678409	0.910273305794159	0.559936440112624	0.630003813248931	24.5507811995638	34.628711899721	29.28353143793	36.087756662349	0.259787451311215	42.0484822929587	26.6718913495548	78.7519232590979	15.7742577798695	45.0453263084901	12.9203339922625	1.4929848458853
10.2492447393701	1416.235	796.554411764706	646.888329896908	674.974965755588	439.407662975706	247.134268639361	351.072468	550.669860839843	2187.095703125	1069.86828232598	1636.42584228516	1	0	0	0	18.0907565602264	30.5089786000969	52.3004355743777	16.5615428486165	0.629042976908916	1.09361968064131	7.01381850818858	0.668893238304292	66.1762906066119	60.4957861764026	56.7588123987561	1.29318053664899	1.61826269714247	0.530383719406963	34.0412710527365	62.8936061035235	29.6386644871837	7.4677294092927	0.920524192173338	52.2723000881972	7.37202126599116	50.5754546807955	5.90291965433354	22.7811291257438	14.8571397678383	4.42256655694153
8.67948095134098	1350.77135294118	733.069647058823	641.798721649485	587.291607071529	377.945599013118	220.028766490515	0.556564	908.312683105468	1203.66076660156	1061.3432542221	295.348083496092	0	0	0	1	29.3328650803488	6.02087466574657	41.3784180108686	52.5547025503896	0.0460047729951983	1.18062061736877	0.0835452921413692	1.42424344532099	66.6666666666667	80	60	0	0	0	99.4250808480057	100	0	0	99.9983829352959	0	0	0	0	0	0	0
6.92599946966565	1643.60264705882	892.731764705882	779.159257731959	643.905587027294	420.101492691412	235.302412004227	0.602608	994.0107421875	1258.759765625	1138.85596174383	264.7490234375	0	0	0	1	30.5695256730727	3.48809429003743	39.9485014998275	56.4731491067399	0.0902551033951846	1.19286349103773	0.121734968781062	1.42424344532099	66.6666666666667	80	60	0	0	0	50.895225464191	100	0	0	100.000331890715	0	0	0	0	0	0	0
7.61908535584645	1749.74129411765	989.788470588235	797.401175257732	664.035563743765	428.693997032824	247.354713654928	493.759144	532.99462890625	2501.52856445312	1019.52929465982	1968.53393554687	1	0	0	0	20.5872138554842	23.1081765255159	53.8380379999181	22.2554214122062	0.79836406235985	1.11704399152189	7.22560460411546	0.265364199513437	65.5121853478242	53.770114765606	52.4852001258926	1.91419667179163	0.781541550565315	2.76006854611646	32.2076032894522	74.1211700809138	18.7839570808644	7.09487283822172	31.4375233119733	7.15470739717582	40.2559056202512	33.3117092716908	2.68267048190358	17.0092332171643	8.30364821741835	3.29482684735688
