GIS_ID	Quality
8	1
19	1
26	1
29	1
30	1
31	2
34	1
35	1
37	1
38	1
39	1
43	1
46	2
51	2
53	1
55	1
61	2
63	2
80	1
90	1
101	1
112	2
113	1
117	2
118	2
121	2
224	1
225	1
226	1
228	2
238	1
245	1
252	2
253	1
254	1
255	2
256	2
258	2
272	1
273	2
276	2
277	2
278	2
307	1
313	1
314	1
354	1
355	2
379	2
380	2
382	2
384	1
401	1
402	1
