GIS_ID	lasso_plateau_C_obs	lasso_plateau_C_est	lasso_plateau_C_residual	lasso_plateau_q95_obs	lasso_plateau_q95_est	lasso_plateau_q95_residual	lasso_plateau_Qmin_obs	lasso_plateau_Qmin_est	lasso_plateau_Qmin_residual	random_forest_alps_C_obs	random_forest_alps_C_est	random_forest_alps_C_residual	random_forest_alps_q95_obs	random_forest_alps_q95_est	random_forest_alps_q95_residual	random_forest_alps_Qmin_obs	random_forest_alps_Qmin_est	random_forest_alps_Qmin_residual	random_forest_plateau_C_obs	random_forest_plateau_C_est	random_forest_plateau_C_residual	random_forest_plateau_q95_obs	random_forest_plateau_q95_est	random_forest_plateau_q95_residual	random_forest_plateau_Qmin_obs	random_forest_plateau_Qmin_est	random_forest_plateau_Qmin_residual	sequential_alps_C_obs	sequential_alps_C_est	sequential_alps_C_residual	sequential_alps_q95_obs	sequential_alps_q95_est	sequential_alps_q95_residual	sequential_alps_Qmin_obs	sequential_alps_Qmin_est	sequential_alps_Qmin_residual	sequential_plateau_C_obs	sequential_plateau_C_est	sequential_plateau_C_residual	sequential_plateau_q95_obs	sequential_plateau_q95_est	sequential_plateau_q95_residual	sequential_plateau_Qmin_obs	sequential_plateau_Qmin_est	sequential_plateau_Qmin_residual	stepwise_alps_C_obs	stepwise_alps_C_est	stepwise_alps_C_residual	stepwise_alps_q95_obs	stepwise_alps_q95_est	stepwise_alps_q95_residual	stepwise_alps_Qmin_obs	stepwise_alps_Qmin_est	stepwise_alps_Qmin_residual	stepwise_plateau_C_obs	stepwise_plateau_C_est	stepwise_plateau_C_residual	stepwise_plateau_q95_obs	stepwise_plateau_q95_est	stepwise_plateau_q95_residual	stepwise_plateau_Qmin_obs	stepwise_plateau_Qmin_est	stepwise_plateau_Qmin_residual
1	13.5189798695137	15.8425635083618	-2.32358363884806	0.329058433421365	0.309476780894695	0.0195816525266699	0.279972121813028	0.437610279939621	-0.157638158126593	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5189798695137	14.2880651743445	-0.769085304830796	0.329058433421365	0.364470882154109	-0.0354124487327437	0.279972121813028	0.331660837614267	-0.0516887158012389	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5189798695137	16.5838570308927	-3.06487716137904	0.329058433421365	0.476033905364617	-0.146975471943252	0.279972121813028	0.468084507901655	-0.188112386088627	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.5189798695137	16.7656993232394	-3.24671945372575	0.329058433421365	0.45923161515496	-0.130173181733595	0.279972121813028	0.440890583905829	-0.160918462092801
3	8.5888370988195	14.2526740848771	-5.6638369860576	0.486599248474729	0.757914694135672	-0.271315445660943	0.413162189175771	0.5600768923222	-0.146914703146429	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5888370988195	8.89682122828403	-0.307984129464534	0.486599248474729	0.509802648095176	-0.0232033996204472	0.483510880860342	0.436411448819903	0.0470994320404385	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5888370988195	15.2284499599159	-6.63961286109645	0.486599248474729	0.635650504939938	-0.149051256465209	0.413162189175771	0.581834400062846	-0.168672210887075	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.5888370988195	14.5981013182537	-6.00926421943419	0.486599248474729	0.709259676353664	-0.222660427878935	0.413162189175771	0.647509326119852	-0.234347136944081
8	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.44567796640731	8.77515952840743	-0.329481562000119	0.653285154721129	0.718478909220639	-0.0651937544995101	0.597230368506514	0.647084555957728	-0.0498541874512143	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1641604662034	12.8783330257001	0.28582744050332	0.653285154721129	0.780482406535137	-0.127197251814008	0.597230368506514	0.76849814684758	-0.171267778341066	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.1641604662034	14.8665071077976	-1.70234664159422	0.653285154721129	0.684079176522991	-0.0307940218018615	0.597230368506514	0.609296438164739	-0.012066069658225	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	7.10781403356266	5.05546132430576	2.0523527092569	0.637431391189271	0.441792727702617	0.195638663486654	0.512669178738514	0.460984456531356	0.0516847222071585	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2580882692812	12.0159625232539	0.2421257460273	0.545756748049694	0.529020564000397	0.0167361840492971	0.462288282581485	0.444358792785055	0.0179294897964297	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10781403356266	5.51734981050057	1.59046422306209	0.637431391189271	0.521626296998308	0.115805094190963	0.512669178738514	0.467567004442578	0.0451021742959362	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10781403356266	5.08374892179565	2.02406511176701	0.637431391189271	0.601954519857072	0.0354768713321985	0.512669178738514	0.49258614281511	0.020083035923404
13	12.2580882692812	13.6056907678707	-1.34760249858954	0.545756748049694	0.346008091704617	0.199748656345077	0.483510880860342	0.37985682859904	0.103654052261302	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.8277931338505	11.5094037033598	0.318389430490681	0.533618828360471	0.520564813570633	0.0130540147898385	0.583396439587885	0.517258494633122	0.0661379449547627	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2580882692812	14.0306774730449	-1.77258920376372	0.545756748049694	0.465587501973538	0.0801692460761556	0.483510880860342	0.449115662841158	0.0343952180191844	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.2580882692812	12.5248604088778	-0.266772139596609	0.545756748049694	0.437632798998607	0.108123949051087	0.483510880860342	0.326694316161819	0.156816564698523
14	11.8277931338505	12.4295794911535	-0.60178635730295	0.533618828360471	0.447677601170858	0.0859412271896129	0.462288282581485	0.41882249483251	0.0434657877489749	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0490974394207	11.2881514996773	1.76094593974335	0.645418423966871	0.553777376238563	0.0916410477283079	0.521514982966628	0.486632386923566	0.0348825960430623	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.8277931338505	11.7954200151315	0.0323731187189722	0.533618828360471	0.447469108911606	0.0861497194488655	0.462288282581485	0.491743385226535	-0.0294551026450496	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.8277931338505	12.0044879869392	-0.176694853088733	0.533618828360471	0.48612891411127	0.0474899142492015	0.462288282581485	0.457725938835357	0.00456234374612807
18	13.0490974394207	14.0726936716166	-1.02359623219586	0.645418423966871	0.594417084476583	0.051001339490288	0.583396439587885	0.502242450310082	0.081153989277803	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2492447393701	9.75311126845155	0.496133470918545	0.575011635685835	0.5503770608698	0.0246345748160348	0	0.00209726593905013	-0.00209726593905013	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0490974394207	15.1856392257346	-2.13654178631389	0.645418423966871	0.562671999115481	0.0827464248513899	0.583396439587885	0.48666355895345	0.0967328806344346	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0490974394207	16.0620986300671	-3.01300119064639	0.645418423966871	0.641578648276796	0.00383977569007476	0.583396439587885	0.606995160188101	-0.0235987206002156
19	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5293396416219	11.0410477765872	4.48829186503473	0.151006447507765	0.290105138032157	-0.139098690524392	0.131318623322057	0.247413378217454	-0.116094754895397	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.44567796640731	9.6143841851634	-1.16870621875609	0.151006447507765	0.603737199434192	-0.452730751926427	0.131318623322057	0.498118293867703	-0.366799670545646	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.44567796640731	14.8665071077976	-6.42082914139031	0.151006447507765	0.684079176522991	-0.533072729015226	0.131318623322057	0.609296438164739	-0.477977814842682	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	10.2492447393701	14.5724192677783	-4.32317452840819	0.575011635685835	0.734762941627151	-0.159751305941316	0.521514982966628	0.548703299110404	-0.0271883161437763	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.67948095134098	8.84959172886241	-0.170110777521435	0.576679839907765	0.500292447296214	0.0763873926115507	0.699931278320228	0.343102890767121	0.356828387553107	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2492447393701	14.6509117664849	-4.4016670271148	0.575011635685835	0.664113381057531	-0.0891017453716958	0.521514982966628	0.60732088594523	-0.0858059029786019	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.2492447393701	14.6810184944123	-4.43177375504218	0.575011635685835	0.667808396163401	-0.0927967604775659	0.521514982966628	0.603586158315464	-0.0820711753488356
26	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6614427174148	12.5400979291388	4.12134478827602	0.629355220034824	0.685010893748557	-0.0556556737137333	0.582774005897828	0.617565965904498	-0.0347919600066698	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.6452230021628	13.8711485906023	-1.22592558843953	0.629355220034824	0.788535114277755	-0.159179894242931	0.582774005897828	0.780489577000988	-0.19771557110316	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.6452230021628	14.8665071077976	-2.22128410563482	0.629355220034824	0.684079176522991	-0.0547239564881665	0.582774005897828	0.609296438164739	-0.026522432266911	NA	NA	NA	NA	NA	NA	NA	NA	NA
